iter	RMSE
0	14.61786209
1	14.13419539
2	13.77111623
3	13.35929895
4	13.012782
5	12.63632387
6	12.27615328
7	11.95815018
8	11.6004335
9	11.27529154
10	11.03621752
11	10.73658057
12	10.49892812
13	10.23463253
14	9.98933053
15	9.747486135
16	9.522867982
17	9.303201278
18	9.10126701
19	8.898009296
20	8.721878205
21	8.560031492
22	8.438674176
23	8.302351742
24	8.175575739
25	8.032630633
26	7.892804931
27	7.767707726
28	7.658856969
29	7.557251137
30	7.466874879
31	7.376687635
32	7.276153047
33	7.191016019
34	7.107462854
35	7.034910418
36	6.957125355
37	6.883192355
38	6.814133428
39	6.759675946
40	6.697040788
41	6.645901441
42	6.586188294
43	6.533950306
44	6.47950353
45	6.422600624
46	6.364761182
47	6.324213666
48	6.273537041
49	6.2371083
50	6.198073209
51	6.167069261
52	6.134931094
53	6.09368206
54	6.059325006
55	6.031540622
56	6.005574921
57	5.979155237
58	5.960331609
59	5.939181916
60	5.920524748
61	5.900915244
62	5.886581076
63	5.866193117
64	5.844522751
65	5.818048106
66	5.799807995
67	5.787090877
68	5.769155384
69	5.743880161
70	5.726521168
71	5.707626675
72	5.692817572
73	5.6810519
74	5.671404502
75	5.66088359
76	5.647779223
77	5.636783004
78	5.621678146
79	5.6087993
80	5.596558246
81	5.58714571
82	5.572749669
83	5.561408358
84	5.552999267
85	5.544015428
86	5.534734025
87	5.53317919
88	5.523824252
89	5.515327848
90	5.507381554
91	5.499233982
92	5.493492509
93	5.488020936
94	5.482172272
95	5.474108925
96	5.468351452
97	5.461217427
98	5.453779525
99	5.444456077
100	5.438835246
101	5.43358002
102	5.428197072
103	5.420744723
104	5.418294221
105	5.415358659
106	5.406153216
107	5.400276831
108	5.396839061
109	5.394058708
110	5.384920622
111	5.379645604
112	5.375279222
113	5.370693471
114	5.363032957
115	5.355142146
116	5.351928991
117	5.347995669
118	5.344247318
119	5.339270835
120	5.333914974
121	5.327378954
122	5.323172676
123	5.319971616
124	5.315630044
125	5.313048601
126	5.306434455
127	5.303698566
128	5.300143688
129	5.297819646
130	5.291424429
131	5.285671496
132	5.284174159
133	5.279352732
134	5.27427672
135	5.272169874
136	5.264071749
137	5.261755319
138	5.260171603
139	5.256728369
140	5.252691298
141	5.250759385
142	5.245458661
143	5.237563767
144	5.236134008
145	5.233345927
146	5.229919328
147	5.222768716
148	5.219454462
149	5.216346852
150	5.213382525
151	5.209644525
152	5.207493022
153	5.20503603
154	5.203261537
155	5.199744712
156	5.197039535
157	5.194544745
158	5.19174784
159	5.184222032
160	5.182099778
161	5.179032253
162	5.175738563
163	5.171992062
164	5.167335884
165	5.164396213
166	5.158928727
167	5.158581052
168	5.153614061
169	5.149029174
170	5.146898646
171	5.144255873
172	5.14237482
173	5.139974541
174	5.13809291
175	5.133825769
176	5.132297119
177	5.131290896
178	5.125176249
179	5.12403255
180	5.121191337
181	5.118497123
182	5.112796282
183	5.108960231
184	5.106486352
185	5.100883207
186	5.096362936
187	5.092871215
188	5.091200106
189	5.08765344
190	5.087048568
191	5.084236326
192	5.080969657
193	5.078747625
194	5.076728265
195	5.073440237
196	5.071939077
197	5.066962059
198	5.063590487
199	5.060682627
