iter	Passed	Remaining
0	149	149089
1	149	74840
2	150	50026
3	151	37617
4	151	30170
5	152	25203
6	152	21670
7	153	19023
8	154	16959
9	154	15302
10	155	13946
11	155	12817
12	156	11859
13	156	11039
14	157	10328
15	157	9705
16	158	9157
17	158	8673
18	159	8238
19	160	7847
20	160	7491
21	161	7168
22	161	6873
23	162	6601
24	162	6352
25	163	6121
26	163	5907
27	164	5709
28	165	5529
29	165	5358
30	166	5199
31	166	5048
32	167	4906
33	168	4773
34	168	4649
35	169	4530
36	169	4417
37	170	4311
38	170	4209
39	171	4115
40	172	4025
41	172	3938
42	173	3855
43	173	3775
44	174	3699
45	174	3626
46	175	3556
47	175	3489
48	176	3425
49	177	3365
50	177	3307
51	178	3252
52	178	3197
53	179	3144
54	180	3093
55	180	3043
56	181	2995
57	181	2950
58	182	2905
59	182	2862
60	183	2822
61	183	2783
62	184	2745
63	185	2707
64	185	2671
65	186	2635
66	186	2601
67	187	2567
68	187	2535
69	188	2503
70	188	2472
71	189	2444
72	190	2418
73	191	2390
74	191	2362
75	192	2335
76	192	2309
77	193	2283
78	193	2257
79	194	2233
80	194	2209
81	195	2186
82	195	2161
83	196	2140
84	196	2119
85	197	2098
86	198	2077
87	198	2057
88	199	2037
89	199	2018
90	200	1999
91	200	1980
92	201	1962
93	201	1945
94	202	1928
95	203	1911
96	203	1894
97	204	1878
98	204	1862
99	205	1846
100	205	1830
101	206	1815
102	206	1800
103	207	1786
104	207	1772
105	208	1759
106	209	1746
107	209	1732
108	210	1719
109	210	1706
110	211	1693
111	211	1680
112	212	1668
113	213	1655
114	213	1644
115	214	1633
116	214	1620
117	215	1609
118	215	1598
119	216	1587
120	216	1576
121	217	1564
122	217	1553
123	218	1543
124	219	1533
125	219	1523
126	220	1513
127	220	1503
128	221	1494
129	221	1485
130	222	1475
131	222	1466
132	223	1457
133	224	1449
134	224	1440
135	225	1431
136	226	1423
137	226	1415
138	227	1407
139	227	1398
140	228	1390
141	228	1381
142	229	1373
143	229	1365
144	230	1357
145	230	1350
146	231	1342
147	231	1335
148	232	1328
149	233	1321
150	233	1314
151	234	1307
152	234	1300
153	235	1293
154	235	1286
155	236	1279
156	237	1273
157	237	1266
158	238	1260
159	238	1254
160	239	1247
161	239	1240
162	240	1234
163	240	1228
164	241	1222
165	242	1216
166	242	1210
167	243	1204
168	243	1198
169	244	1193
170	245	1188
171	245	1182
172	246	1177
173	246	1171
174	247	1166
175	247	1160
176	248	1155
177	248	1149
178	249	1144
179	250	1139
180	250	1134
181	251	1130
182	252	1125
183	252	1120
184	253	1115
185	253	1110
186	254	1105
187	254	1100
188	255	1095
189	255	1090
190	256	1086
191	257	1081
192	257	1077
193	258	1073
194	258	1068
195	259	1064
196	259	1059
197	260	1055
198	261	1050
199	261	1046
200	262	1042
201	262	1038
202	263	1034
203	264	1030
204	264	1026
205	265	1022
206	265	1018
207	266	1014
208	266	1009
209	267	1005
210	267	1001
211	268	998
212	269	994
213	269	991
214	270	987
215	271	983
216	271	979
217	272	976
218	272	972
219	273	968
220	273	964
221	274	961
222	274	958
223	275	954
224	276	951
225	276	947
226	277	944
227	277	940
228	278	937
229	278	933
230	279	930
231	280	927
232	280	923
233	281	920
234	281	917
235	282	914
236	282	911
237	283	907
238	284	904
239	284	901
240	285	897
241	285	894
242	286	891
243	286	888
244	287	885
245	287	882
246	288	879
247	289	876
248	289	873
249	290	870
250	290	867
251	291	864
252	291	861
253	292	858
254	292	855
255	293	852
256	294	850
257	294	847
258	295	844
259	295	841
260	296	839
261	296	836
262	297	833
263	297	830
264	298	827
265	299	825
266	299	823
267	300	820
268	300	817
269	301	815
270	301	812
271	302	809
272	303	807
273	303	804
274	304	801
275	304	799
276	305	797
277	305	794
278	306	792
279	307	789
280	307	787
281	308	784
282	308	782
283	309	779
284	309	777
285	310	775
286	311	772
287	311	770
288	312	768
289	312	766
290	313	763
291	314	761
292	314	759
293	315	756
294	315	754
295	316	752
296	316	750
297	317	747
298	318	745
299	318	743
300	319	741
301	319	739
302	320	736
303	320	734
304	321	732
305	322	730
306	322	728
307	323	726
308	323	724
309	324	722
310	324	719
311	325	717
312	326	715
313	326	713
314	327	711
315	327	709
316	328	707
317	328	705
318	329	703
319	330	701
320	330	699
321	331	697
322	331	695
323	332	693
324	332	691
325	333	689
326	333	687
327	334	685
328	335	683
329	335	681
330	336	679
331	336	677
332	337	676
333	338	674
334	338	672
335	339	670
336	339	668
337	340	666
338	340	664
339	341	662
340	341	660
341	342	659
342	343	657
343	343	655
344	344	653
345	344	651
346	345	649
347	345	647
348	346	646
349	346	644
350	347	642
351	348	641
352	348	639
353	349	637
354	349	635
355	350	634
356	351	632
357	351	630
358	352	628
359	352	627
360	353	625
361	353	623
362	354	622
363	355	620
364	355	618
365	356	617
366	356	615
367	357	613
368	357	612
369	358	610
370	359	608
371	359	607
372	360	605
373	360	604
374	361	602
375	362	600
376	362	599
377	363	597
378	363	596
379	364	594
380	365	593
381	365	592
382	366	590
383	367	589
384	368	588
385	368	586
386	369	585
387	370	583
388	370	582
389	371	580
390	371	579
391	372	578
392	373	576
393	373	575
394	374	573
395	375	572
396	375	570
397	376	568
398	376	567
399	377	565
400	377	564
401	378	563
402	379	561
403	379	560
404	380	558
405	380	557
406	381	555
407	381	554
408	382	552
409	382	551
410	383	549
411	384	548
412	384	546
413	385	545
414	385	544
415	386	542
416	387	541
417	387	539
418	388	538
419	388	536
420	389	535
421	389	534
422	390	532
423	391	531
424	392	530
425	392	529
426	393	527
427	393	526
428	394	525
429	395	524
430	396	523
431	397	522
432	397	521
433	398	519
434	399	518
435	399	516
436	400	515
437	400	514
438	401	512
439	402	511
440	402	510
441	403	509
442	404	508
443	404	506
444	405	505
445	406	504
446	406	503
447	407	502
448	408	500
449	408	499
450	409	498
451	410	497
452	410	495
453	411	494
454	411	493
455	412	492
456	413	490
457	413	489
458	414	488
459	415	487
460	416	486
461	417	485
462	417	484
463	418	483
464	419	483
465	421	482
466	421	481
467	422	480
468	423	479
469	424	479
470	425	478
471	426	477
472	427	476
473	427	474
474	428	473
475	428	472
476	429	471
477	430	470
478	431	469
479	432	468
480	434	468
481	435	467
482	435	466
483	436	465
484	437	464
485	437	463
486	438	462
487	439	460
488	439	459
489	440	458
490	441	457
491	441	456
492	442	454
493	442	453
494	443	452
495	444	451
496	444	450
497	445	448
498	445	447
499	446	446
500	446	445
501	447	443
502	448	442
503	448	441
504	449	440
505	449	439
506	450	437
507	450	436
508	451	435
509	452	434
510	452	433
511	453	431
512	453	430
513	454	429
514	454	428
515	455	427
516	455	425
517	456	424
518	457	423
519	457	422
520	458	421
521	458	420
522	459	418
523	459	417
524	460	416
525	460	415
526	461	414
527	462	413
528	462	411
529	463	410
530	463	409
531	464	408
532	465	407
533	465	406
534	466	405
535	466	403
536	467	402
537	467	401
538	468	400
539	468	399
540	469	398
541	470	397
542	470	396
543	471	395
544	471	394
545	472	392
546	473	391
547	473	390
548	474	389
549	474	388
550	475	387
551	476	386
552	476	385
553	477	384
554	477	383
555	478	381
556	478	380
557	479	379
558	480	378
559	480	377
560	481	376
561	481	375
562	482	374
563	482	373
564	483	372
565	483	371
566	484	370
567	485	368
568	485	367
569	486	366
570	486	365
571	487	364
572	487	363
573	488	362
574	489	361
575	489	360
576	490	359
577	491	358
578	491	357
579	492	356
580	492	355
581	493	354
582	493	353
583	494	352
584	495	351
585	495	350
586	496	349
587	496	348
588	497	347
589	497	346
590	498	344
591	499	343
592	499	342
593	500	341
594	500	340
595	501	339
596	501	338
597	502	337
598	503	336
599	503	335
600	504	334
601	504	333
602	505	332
603	505	331
604	506	330
605	507	329
606	507	328
607	508	327
608	508	326
609	509	325
610	509	324
611	510	323
612	510	322
613	511	321
614	512	320
615	512	319
616	513	318
617	513	317
618	514	316
619	515	315
620	515	314
621	516	313
622	516	312
623	517	311
624	518	310
625	518	309
626	519	308
627	519	307
628	520	306
629	520	305
630	521	304
631	522	304
632	522	303
633	523	302
634	523	301
635	524	300
636	525	299
637	525	298
638	526	297
639	526	296
640	527	295
641	527	294
642	528	293
643	528	292
644	529	291
645	530	290
646	530	289
647	531	288
648	531	287
649	532	286
650	532	285
651	533	284
652	534	283
653	534	282
654	535	281
655	535	280
656	536	280
657	537	279
658	537	278
659	538	277
660	538	276
661	539	275
662	539	274
663	540	273
664	541	272
665	541	271
666	542	270
667	543	269
668	543	269
669	544	268
670	544	267
671	545	266
672	545	265
673	546	264
674	547	263
675	547	262
676	548	261
677	548	260
678	549	259
679	550	258
680	550	257
681	551	257
682	551	256
683	552	255
684	552	254
685	553	253
686	554	252
687	554	251
688	555	250
689	556	249
690	556	248
691	557	248
692	557	247
693	558	246
694	558	245
695	559	244
696	560	243
697	560	242
698	561	241
699	561	240
700	562	239
701	563	239
702	563	238
703	564	237
704	564	236
705	565	235
706	565	234
707	566	233
708	567	232
709	567	231
710	568	230
711	568	230
712	569	229
713	569	228
714	570	227
715	570	226
716	571	225
717	572	224
718	572	223
719	573	223
720	574	222
721	574	221
722	575	220
723	575	219
724	576	218
725	576	217
726	577	216
727	577	215
728	578	215
729	579	214
730	579	213
731	580	212
732	580	211
733	581	210
734	581	209
735	582	208
736	583	208
737	583	207
738	584	206
739	584	205
740	585	204
741	586	203
742	586	202
743	587	202
744	587	201
745	588	200
746	589	199
747	589	198
748	590	197
749	590	196
750	591	196
751	592	195
752	592	194
753	593	193
754	594	192
755	594	191
756	595	191
757	595	190
758	596	189
759	597	188
760	597	187
761	598	186
762	598	186
763	599	185
764	600	184
765	600	183
766	601	182
767	601	181
768	602	180
769	603	180
770	603	179
771	604	178
772	604	177
773	605	176
774	606	175
775	606	175
776	607	174
777	607	173
778	608	172
779	608	171
780	609	170
781	610	170
782	610	169
783	611	168
784	611	167
785	612	166
786	613	165
787	613	165
788	614	164
789	615	163
790	615	162
791	616	161
792	617	161
793	617	160
794	618	159
795	618	158
796	619	157
797	620	156
798	620	156
799	621	155
800	622	154
801	622	153
